,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,bornYear
703,364,George Wells,Beadle,22.10.03,06.09.89,USA,US,"Wahoo, NE",USA,US,"Pomona, CF",male,1958,medicine,,4,"""for their discovery that genes act by regulating definite chemical events""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1903
713,288,John E.,Walker,07.01.41,,United Kingdom,GB,Halifax,,,,male,1997,chemistry,,4,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1941
714,287,Paul D.,Boyer,31.07.18,,USA,US,"Provo, UT",,,,male,1997,chemistry,,4,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",University of California,"Los Angeles, CA",USA,1918
715,894,Eugene F.,Fama,14.02.39,,USA,US,"Boston, MA",,,,male,2013,economics,,3,"""for their empirical analysis of asset prices""",University of Chicago,"Chicago, IL",USA,1939
716,895,Lars Peter,Hansen,26.10.52,,USA,US,"Urbana, IL",,,,male,2013,economics,,3,"""for their empirical analysis of asset prices""",University of Chicago,"Chicago, IL",USA,1952
717,896,Robert J.,Shiller,29.03.46,,USA,US,"Detroit, MI",,,,male,2013,economics,,3,"""for their empirical analysis of asset prices""",Yale University,"New Haven, CT",USA,1946
718,872,Thomas J.,Sargent,19.07.43,,USA,US,"Pasadena, CA",,,,male,2011,economics,,2,"""for their empirical research on cause and effect in the macroeconomy""",New York University,"New York, NY",USA,1943
719,873,Christopher A.,Sims,21.10.42,,USA,US,"Washington, DC",,,,male,2011,economics,,2,"""for their empirical research on cause and effect in the macroeconomy""",Princeton University,"Princeton, NJ",USA,1942
720,98,Ivar,Giaever,05.04.29,,Norway,NO,Bergen,,,,male,1973,physics,,4,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",General Electric Company,"Schenectady, NY",USA,1929
721,97,Leo,Esaki,12.03.25,,Japan,JP,Osaka,,,,male,1973,physics,,4,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",IBM Thomas J. Watson Research Center,"Yorktown Heights, NY",USA,1925
722,45,George Paget,Thomson,1892-05-03,09.10.75,United Kingdom,GB,Cambridge,United Kingdom,GB,Cambridge,male,1937,physics,,2,"""for their experimental discovery of the diffraction of electrons by crystals""",London University,London,United Kingdom,1892
723,44,Clinton Joseph,Davisson,1881-10-22,02.01.58,USA,US,"Bloomington, IL",USA,US,"Charlottesville, VA",male,1937,physics,,2,"""for their experimental discovery of the diffraction of electrons by crystals""",Bell Telephone Laboratories,"New York, NY",USA,1881
724,715,James A.,Mirrlees,05.07.36,,Scotland,GB,Minnigaff,,,,male,1996,economics,,2,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",University of Cambridge,Cambridge,United Kingdom,1936
725,716,William,Vickrey,21.06.14,10.11.96,Canada,CA,"Victoria, BC",USA,US,"Harrison, NY",male,1996,economics,,2,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",Columbia University,"New York, NY",USA,1914
726,108,Sir Nevill Francis,Mott,30.09.05,08.08.96,United Kingdom,GB,Leeds,United Kingdom,GB,Milton Keynes,male,1977,physics,,3,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",University of Cambridge,Cambridge,United Kingdom,1905
727,109,John Hasbrouck,van Vleck,1899-03-13,10/27/1980,USA,US,"Middletown, CT",USA,US,"Cambridge, MA",male,1977,physics,,3,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",Harvard University,"Cambridge, MA",USA,1899
728,107,Philip Warren,Anderson,13.12.23,,USA,US,"Indianapolis, IN",,,,male,1977,physics,,3,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",Bell Telephone Laboratories,"Murray Hill, NJ",USA,1923
729,85,Julian,Schwinger,12.02.18,7/16/1994,USA,US,"New York, NY",USA,US,"Los Angeles, CA",male,1965,physics,,3,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Harvard University,"Cambridge, MA",USA,1918
730,86,Richard P.,Feynman,11.05.18,2/15/1988,USA,US,"New York, NY",USA,US,"Los Angeles, CA",male,1965,physics,,3,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1918
731,84,Sin-Itiro,Tomonaga,31.03.06,07.08.79,Japan,JP,Kyoto,Japan,JP,Tokyo,male,1965,physics,,3,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Tokyo University of Education,Tokyo,Japan,1906
732,130,J. Georg,Bednorz,16.05.50,,West Germany (now Germany),DE,Neuenkirchen,,,,male,1987,physics,,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""",IBM Zurich Research Laboratory,Rôschlikon,Switzerland,1950
733,131,K. Alexander,Môller,19.04.27,,Switzerland,CH,Basel,,,,male,1987,physics,,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""",IBM Zurich Research Laboratory,Rôschlikon,Switzerland,1927
734,390,Marshall W.,Nirenberg,10.04.27,1/15/2010,USA,US,"New York, NY",USA,US,"New York, NY",male,1968,medicine,,3,"""for their interpretation of the genetic code and its function in protein synthesis""",National Institutes of Health,"Bethesda, MD",USA,1927
735,388,Robert W.,Holley,28.01.22,02.11.93,USA,US,"Urbana, IL",USA,US,"Los Gatos, CA",male,1968,medicine,,3,"""for their interpretation of the genetic code and its function in protein synthesis""",Cornell University,"Ithaca, NY",USA,1922
736,389,Har Gobind,Khorana,09.01.22,11.09.11,India,IN,Raipur,USA,US,"Concord, MA",male,1968,medicine,,3,"""for their interpretation of the genetic code and its function in protein synthesis""",University of Wisconsin,"Madison, WI",USA,1922
737,215,Richard Laurence Millington,Synge,28.10.14,8/18/1994,United Kingdom,GB,Liverpool,United Kingdom,GB,Norwich,male,1952,chemistry,,2,"""for their invention of partition chromatography""",Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1914
738,214,Archer John Porter,Martin,01.03.10,7/28/2002,United Kingdom,GB,London,United Kingdom,GB,Llangarron,male,1952,chemistry,,2,"""for their invention of partition chromatography""",National Institute for Medical Research,London,United Kingdom,1910
739,186,Arthur,Harden,1865-10-12,6/17/1940,United Kingdom,GB,Manchester,United Kingdom,GB,Bourne,male,1929,chemistry,,2,"""for their investigations on the fermentation of sugar and fermentative enzymes""",London University,London,United Kingdom,1865
740,187,Hans Karl August Simon,von Euler-Chelpin,1873-02-15,11.06.64,Germany,DE,Augsburg,Sweden,SE,Stockholm,male,1929,chemistry,,2,"""for their investigations on the fermentation of sugar and fermentative enzymes""",Stockholm University,Stockholm,Sweden,1873
741,96,John Robert,Schrieffer,31.05.31,,USA,US,"Oak Park, IL",,,,male,1972,physics,,3,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",University of Pennsylvania,"Philadelphia, PA",USA,1931
742,95,Leon Neil,Cooper,28.02.30,,USA,US,"New York, NY",,,,male,1972,physics,,3,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",Brown University,"Providence, RI",USA,1930
743,66,John,Bardeen,23.05.08,1/30/1991,USA,US,"Madison, WI",USA,US,"Boston, MA",male,1972,physics,,3,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",University of Illinois,"Urbana, IL",USA,1908
744,262,Herbert A.,Hauptman,14.02.17,10/23/2011,USA,US,"New York, NY",USA,US,"Buffalo, NY",male,1985,chemistry,,2,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",The Medical Foundation of Buffalo,"Buffalo, NY",USA,1917
745,263,Jerome,Karle,18.06.18,06.06.13,USA,US,"New York, NY",,,,male,1985,chemistry,,2,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",US Naval Research Laboratory,"Washington, DC",USA,1918
746,690,James E.,Meade,23.06.07,12/22/1995,United Kingdom,GB,Swanage,United Kingdom,GB,Cambridge,male,1977,economics,,2,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",University of Cambridge,Cambridge,United Kingdom,1907
747,689,Bertil,Ohlin,1899-04-23,08.03.79,Sweden,SE,Klippan,Sweden,SE,Vëlëdalen,male,1977,economics,,2,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",Stockholm School of Economics,Stockholm,Sweden,1899
748,69,Tsung-Dao (T.D.),Lee,24.11.26,,China,CN,Shanghai,,,,male,1957,physics,,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Columbia University,"New York, NY",USA,1926
749,68,Chen Ning,Yang,22.09.22,,China,CN,"Hofei, Anhwei",,,,male,1957,physics,,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Institute for Advanced Study,"Princeton, NJ",USA,1922
750,57,Ernest Thomas Sinton,Walton,06.10.03,6/25/1995,Ireland,IE,Dungarvan,Northern Ireland,GB,Belfast,male,1951,physics,,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Trinity College,Dublin,Ireland,1903
751,56,Sir John Douglas,Cockcroft,1897-05-27,9/18/1967,United Kingdom,GB,Todmorden,United Kingdom,GB,Cambridge,male,1951,physics,,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,1897
752,711,John C.,Harsanyi,29.05.20,08.09.00,Hungary,HU,Budapest,USA,US,"Berkeley, CA",male,1994,economics,,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",University of California,"Berkeley, CA",USA,1920
753,713,Reinhard,Selten,05.10.30,8/23/2016,Germany (now Poland),PL,Breslau (now Wroclaw),Poland,PL,Poznan,male,1994,economics,,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Rheinische Friedrich-Wilhelms-Universit_t,Bonn,Federal Republic of Germany,1930
754,712,John F.,Nash Jr.,13.06.28,5/23/2015,USA,US,"Bluefield, WV",USA,US,"New Jersey, NJ",male,1994,economics,,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Princeton University,"Princeton, NJ",USA,1928
755,682,Kenneth J.,Arrow,23.08.21,,USA,US,"New York, NY",,,,male,1972,economics,,2,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",Harvard University,"Cambridge, MA",USA,1921
756,681,John R.,Hicks,08.04.04,5/20/1989,United Kingdom,GB,Warwick,United Kingdom,GB,Blockley,male,1972,economics,,2,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",All Souls College,Oxford,United Kingdom,1904
757,138,Jerome I.,Friedman,28.03.30,,USA,US,"Chicago, IL",,,,male,1990,physics,,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1930
758,139,Henry W.,Kendall,09.12.26,2/15/1999,USA,US,"Boston, MA",USA,US,"Wakulla Springs State Park, FL",male,1990,physics,,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1926
759,140,Richard E.,Taylor,02.11.29,,Canada,CA,"Medicine Hat, Alberta",,,,male,1990,physics,,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",Stanford University,"Stanford, CA",USA,1929
760,100,Sir Martin,Ryle,27.09.18,10/14/1984,United Kingdom,GB,Brighton,United Kingdom,GB,Cambridge,male,1974,physics,,2,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",University of Cambridge,Cambridge,United Kingdom,1918
761,101,Antony,Hewish,11.05.24,,United Kingdom,GB,Fowey,,,,male,1974,physics,,2,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",University of Cambridge,Cambridge,United Kingdom,1924
762,692,Theodore W.,Schultz,30.04.02,2/26/1998,USA,US,"Arlington, SD",USA,US,"Evanston, IL",male,1979,economics,,2,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",University of Chicago,"Chicago, IL",USA,1902
763,693,Sir Arthur,Lewis,23.01.15,6/15/1991,British West Indies (now Saint Lucia),LC,Castries,Barbados,BB,Bridgetown,male,1979,economics,,2,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",Princeton University,"Princeton, NJ",USA,1915
764,106,Samuel Chao Chung,Ting,27.01.36,,USA,US,"Ann Arbor, MI",,,,male,1976,physics,,2,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1936
765,105,Burton,Richter,22.03.31,,USA,US,"Brooklyn, NY",,,,male,1976,physics,,2,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",Stanford Linear Accelerator Center,"Stanford, CA",USA,1931
766,705,Merton H.,Miller,16.05.23,06.03.00,USA,US,"Boston, MA",USA,US,"Chicago, IL",male,1990,economics,,3,"""for their pioneering work in the theory of financial economics""",University of Chicago,"Chicago, IL",USA,1923
767,704,Harry M.,Markowitz,24.08.27,,USA,US,"Chicago, IL",,,,male,1990,economics,,3,"""for their pioneering work in the theory of financial economics""",City University of New York,"New York, NY",USA,1927
768,706,William F.,Sharpe,16.06.34,,USA,US,"Boston, MA",,,,male,1990,economics,,3,"""for their pioneering work in the theory of financial economics""",Stanford University,"Stanford, CA",USA,1934
769,684,Gunnar,Myrdal,1898-12-06,5/17/1987,Sweden,SE,Skattungbyn,Sweden,SE,Stockholm,male,1974,economics,,2,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",,,,1898
770,685,Friedrich August,von Hayek,1899-05-08,3/23/1992,Austria,AT,Vienna,Germany,DE,Freiburg,male,1974,economics,,2,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",,,,1899
771,245,Geoffrey,Wilkinson,14.07.21,9/26/1996,United Kingdom,GB,Todmorden,United Kingdom,GB,London,male,1973,chemistry,,2,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",Imperial College,London,United Kingdom,1921
772,244,Ernst Otto,Fischer,10.11.18,7/23/2007,Germany,DE,Munich,Germany,DE,Munich,male,1973,chemistry,,2,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",Technical University,Munich,Federal Republic of Germany,1918
773,206,Wendell Meredith,Stanley,16.08.04,6/15/1971,USA,US,"Ridgeville, IN",Spain,ES,Salamanca,male,1946,chemistry,,4,"""for their preparation of enzymes and virus proteins in a pure form""",Rockefeller Institute for Medical Research,"Princeton, NJ",USA,1904
774,205,John Howard,Northrop,1891-07-05,5/27/1987,USA,US,"Yonkers, NY",USA,US,"Wickenberg, AZ",male,1946,chemistry,,4,"""for their preparation of enzymes and virus proteins in a pure form""",Rockefeller Institute for Medical Research,"Princeton, NJ",USA,1891
775,220,Nikolay Nikolaevich,Semenov,1896-04-03,9/25/1986,Russia,RU,Saratov,USSR,RU,Moscow,male,1956,chemistry,,2,"""for their researches into the mechanism of chemical reactions""",Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR,1896
776,219,Sir Cyril Norman,Hinshelwood,1897-05-19,10.09.67,United Kingdom,GB,London,United Kingdom,GB,London,male,1956,chemistry,,2,"""for their researches into the mechanism of chemical reactions""",University of Oxford,Oxford,United Kingdom,1897
777,65,William Bradford,Shockley,13.02.10,08.12.89,United Kingdom,GB,London,USA,US,"Palo Alto, CA",male,1956,physics,,3,"""for their researches on semiconductors and their discovery of the transistor effect""","Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",USA,1910
778,67,Walter Houser,Brattain,10.02.02,10/13/1987,China,CN,Amoy,USA,US,"Seattle, WA",male,1956,physics,,3,"""for their researches on semiconductors and their discovery of the transistor effect""",Bell Telephone Laboratories,"Murray Hill, NJ",USA,1902
779,66,John,Bardeen,23.05.08,1/30/1991,USA,US,"Madison, WI",USA,US,"Boston, MA",male,1956,physics,,3,"""for their researches on semiconductors and their discovery of the transistor effect""",University of Illinois,"Urbana, IL",USA,1908
780,20,Sir William Henry,Bragg,1862-07-02,03.12.42,United Kingdom,GB,Wigton,United Kingdom,GB,London,male,1915,physics,,2,"""for their services in the analysis of crystal structure by means of X-rays""",University College,London,United Kingdom,1862
781,21,William Lawrence,Bragg,1890-03-31,07.01.71,Australia,AU,Adelaide,United Kingdom,GB,Ipswich,male,1915,physics,,2,"""for their services in the analysis of crystal structure by means of X-rays""",Victoria University,Manchester,United Kingdom,1890
783,234,Ronald George Wreyford,Norrish,1897-11-09,06.07.78,United Kingdom,GB,Cambridge,United Kingdom,GB,Cambridge,male,1967,chemistry,,4,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Institute of Physical Chemistry,Cambridge,United Kingdom,1897
784,233,Manfred,Eigen,09.05.27,,Germany,DE,Bochum,,,,male,1967,chemistry,,2,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Max-Planck-Institut fôr Physikalische Chemie,G_ttingen,Federal Republic of Germany,1927
785,235,George,Porter,06.12.20,8/31/2002,United Kingdom,GB,Stainforth,United Kingdom,GB,Canterbury,male,1967,chemistry,,4,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Royal Institution of Great Britain,London,United Kingdom,1920
786,226,Max Ferdinand,Perutz,19.05.14,02.06.02,Austria,AT,Vienna,United Kingdom,GB,Cambridge,male,1962,chemistry,,2,"""for their studies of the structures of globular proteins""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1914
787,227,John Cowdery,Kendrew,24.03.17,8/23/1997,United Kingdom,GB,Oxford,United Kingdom,GB,Cambridge,male,1962,chemistry,,2,"""for their studies of the structures of globular proteins""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1917
788,258,Roald,Hoffmann,18.07.37,,Poland (now Ukraine),UA,Zloczov,,,,male,1981,chemistry,,2,"""for their theories, developed independently, concerning the course of chemical reactions""",Cornell University,"Ithaca, NY",USA,1937
789,257,Kenichi,Fukui,04.10.18,01.09.98,Japan,JP,Nara,Japan,JP,Kyoto,male,1981,chemistry,,2,"""for their theories, developed independently, concerning the course of chemical reactions""",Kyoto University,Kyoto,Japan,1918
793,282,Mario J.,Molina,19.03.43,,Mexico,MX,Mexico City,,,,male,1995,chemistry,,3,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1943
794,283,F. Sherwood,Rowland,28.06.27,03.10.12,USA,US,"Delaware, OH",USA,US,"Corona del Mar, CA",male,1995,chemistry,,3,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",University of California,"Irvine, CA",USA,1927
795,281,Paul J.,Crutzen,03.12.33,,the Netherlands,NL,Amsterdam,,,,male,1995,chemistry,,3,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",Max-Planck-Institut fôr Chemie,Mainz,Federal Republic of Germany,1933
796,742,Ryoji,Noyori,03.09.38,,Japan,JP,Kobe,,,,male,2001,chemistry,,4,"""for their work on chirally catalysed hydrogenation reactions""",Nagoya University,Nagoya,Japan,1938
797,741,William S.,Knowles,01.06.17,6/13/2012,USA,US,"Taunton, MA",USA,US,"Chesterfield, MO",male,2001,chemistry,,4,"""for their work on chirally catalysed hydrogenation reactions""",,"St. Louis, MO",USA,1917
800,929,F. Duncan M.,Haldane,,,United Kingdom,GB,London,,,,male,2016,physics,,4,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",Princeton University,"Princeton, NJ",USA,
801,930,J. Michael,Kosterlitz,,,United Kingdom,GB,Aberdeen,,,,male,2016,physics,,4,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",Brown University,"Providence, RI",USA,
802,928,David J.,Thouless,,,United Kingdom,GB,Bearsden,,,,male,2016,physics,,2,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",University of Washington,"Seattle, WA",USA,
803,430,Georges J.F.,K_hler,17.04.46,03.01.95,Germany,DE,Munich,Germany,DE,Freiburg im Breisgau,male,1984,medicine,,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",Basel Institute for Immunology,Basel,Switzerland,1946
804,429,Niels K.,Jerne,23.12.11,10.07.94,United Kingdom,GB,London,France,FR,Castillon-du-Gard,male,1984,medicine,,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",Basel Institute for Immunology,Basel,Switzerland,1911
805,431,C_sar,Milstein,08.10.27,3/24/2002,Argentina,AR,Bahia Blanca,United Kingdom,GB,Cambridge,male,1984,medicine,,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1927
806,672,Seamus,Heaney,13.04.39,8/30/2013,Northern Ireland,GB,Casteldwson,Ireland,IE,Dublin,male,1995,literature,,1,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past""",,,,1939
807,761,Imre,Kert_sz,09.11.29,,Hungary,HU,Budapest,Hungary,HU,Budapest,male,2002,literature,,1,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",,,,1929
808,658,Elias,Canetti,25.07.05,8/14/1994,Bulgaria,BG,Ruse,Switzerland,,Zurich,male,1981,literature,,1,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",,,,1905
809,650,Harry,Martinson,06.05.04,02.11.78,Sweden,SE,J_msh_g,Sweden,SE,Stockholm,male,1974,literature,,2,"""for writings that catch the dewdrop and reflect the cosmos""",,,,1904
810,581,Count Maurice (Mooris) Polidore Marie Bernhard,Maeterlinck,1862-08-29,05.06.49,Belgium,BE,Ghent,France,FR,Nice,male,1911,literature,,1,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",,,,1862
811,577,Rudyard,Kipling,1865-12-30,1/18/1936,British India (now India),IN,Bombay,United Kingdom,GB,London,male,1907,literature,,1,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",,,,1865
812,175,Theodore William,Richards,1868-01-31,04.02.28,USA,US,"Germantown, PA",USA,US,"Cambridge, MA",male,1914,chemistry,,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",Harvard University,"Cambridge, MA",USA,1868
813,590,Anatole,France,1844-04-16,10.12.24,France,FR,Paris,France,FR,Saint-Cyr-sur-Loire,male,1921,literature,,1,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",,,,1844
814,295,Niels Ryberg,Finsen,1860-12-15,9/24/2004,Faroe Islands (Denmark),DK,Thorshavn,Denmark,DK,Copenhagen,male,1903,medicine,,1,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",Finsen Medical Light Institute,Copenhagen,Denmark,1860
815,578,Rudolf Christoph,Eucken,1846-01-05,9/14/2026,East Friesland (now Germany),DE,Aurich,Germany,DE,Jena,male,1908,literature,,1,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",,,,1846
816,600,Henri,Bergson,1859-10-18,01.04.41,France,FR,Paris,France,FR,Paris,male,1927,literature,,1,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",,,,1859
817,164,Johann Friedrich Wilhelm Adolf,von Baeyer,1835-10-31,8/20/2017,Prussia (now Germany),DE,Berlin,Germany,DE,Starnberg,male,1905,chemistry,,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",Munich University,Munich,Germany,1835
818,163,Sir William,Ramsay,1852-10-02,7/23/2016,Scotland,GB,Glasgow,United Kingdom,GB,High Wycombe,male,1904,chemistry,,1,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",University College,London,United Kingdom,1852
819,169,Otto,Wallach,1847-03-27,2/26/1931,Germany (now Russia),RU,Koenigsberg (now Kaliningrad),Germany,DE,G_ttingen,male,1910,chemistry,,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",Goettingen University,G_ttingen,Germany,1847
820,585,Carl Gustaf Verner,von Heidenstam,1859-07-06,5/20/1940,Sweden,SE,Olshammar,Sweden,SE,vralid,male,1916,literature,,1,"""in recognition of his significance as the leading representative of a new era in our literature""",,,,1859
821,621,Earl (Bertrand Arthur William),Russell,1872-05-18,02.02.70,United Kingdom,GB,Trelleck,United Kingdom,GB,Penrhyndeudraeth,male,1950,literature,,1,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",,,,1872
822,178,Walther Hermann,Nernst,1864-06-25,11/18/1941,Prussia (now Germany),DE,Briesen,Germany,DE,Muskau,male,1920,chemistry,,1,"""in recognition of his work in thermochemistry""",Berlin University,Berlin,Germany,1864
823,307,Charles Robert,Richet,1850-08-26,12.04.35,France,FR,Paris,France,FR,Paris,male,1913,medicine,,1,"""in recognition of his work on anaphylaxis""",Sorbonne University,Paris,France,1850
824,168,Wilhelm,Ostwald,1853-09-02,04.04.32,Russian Empire (now Latvia),LV,Riga,Germany,DE,Leipzig,male,1909,chemistry,,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",Leipzig University,Leipzig,Germany,1853
825,174,Alfred,Werner,1866-12-12,11/15/2019,France,FR,Mulhouse,Switzerland,,Zurich,male,1913,chemistry,,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",University of Zurich,Zurich,Switzerland,1866
826,296,Ivan Petrovich,Pavlov,1849-09-14,2/27/1936,Russia,RU,Ryazan,Russia,RU,Leningrad,male,1904,medicine,,1,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",Military Medical Academy,St. Petersburg,Russia,1849
827,300,Charles Louis Alphonse,Laveran,1845-06-18,5/18/2022,France,FR,Paris,France,FR,Paris,male,1907,medicine,,1,"""in recognition of his work on the role played by protozoa in causing diseases""",Institut Pasteur,Paris,France,1845
828,306,Alexis,Carrel,1873-06-28,11.05.44,France,FR,Sainte-Foy-ls-Lyon,France,FR,Paris,male,1912,medicine,,1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",Rockefeller Institute for Medical Research,"New York, NY",USA,1873
829,304,Albrecht,Kossel,1853-09-16,07.05.27,Mecklenburg (now Germany),DE,Rostock,Germany,DE,Heidelberg,male,1910,medicine,,1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",University of Heidelberg,Heidelberg,Germany,1853
830,3,Pieter,Zeeman,1865-05-25,10.09.43,the Netherlands,NL,Zonnemaire,the Netherlands,NL,Amsterdam,male,1902,physics,,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Amsterdam University,Amsterdam,the Netherlands,1865
